phi_calc,phi_exp,aw_calc,aw_exp,mannose
0.993768,0.993300,0.997985,0.997986,0.002028
0.985806,0.989000,0.995936,0.995923,0.004123
0.983859,0.984000,0.993777,0.993777,0.006324
0.983481,0.982800,0.991572,0.991577,0.008569
0.983734,0.982400,0.989311,0.989326,0.010864
0.984434,0.983200,0.986601,0.986617,0.013610
0.985457,0.983600,0.983631,0.983662,0.016608
0.986682,0.984200,0.980535,0.980583,0.019726
0.988057,0.985200,0.977317,0.977382,0.022954
0.992185,0.990300,0.968347,0.968406,0.031898
0.998074,0.997800,0.956266,0.956278,0.043816
1.007452,1.017000,0.937716,0.937144,0.061838
