BPE,aw
100.000000000,0.999697077
100.100000000,0.996184936
100.200000000,0.992686646
100.300000000,0.989202147
100.400000000,0.985731378
100.500000000,0.982274281
100.600000000,0.978830794
100.700000000,0.975400860
100.800000000,0.971984419
100.900000000,0.968581411
101.000000000,0.965191780
101.100000000,0.961815466
101.200000000,0.958452412
101.300000000,0.955102559
101.400000000,0.951765851
101.500000000,0.948442231
101.600000000,0.945131642
101.700000000,0.941834026
101.800000000,0.938549329
101.900000000,0.935277493
102.000000000,0.932018464
102.100000000,0.928772185
102.200000000,0.925538601
102.300000000,0.922317658
102.400000000,0.919109300
102.500000000,0.915913474
102.600000000,0.912730125
102.700000000,0.909559199
102.800000000,0.906400643
102.900000000,0.903254402
103.000000000,0.900120424
103.100000000,0.896998657
103.200000000,0.893889046
103.300000000,0.890791540
103.400000000,0.887706087
103.500000000,0.884632635
103.600000000,0.881571132
103.700000000,0.878521526
103.800000000,0.875483767
103.900000000,0.872457803
104.000000000,0.869443583
104.100000000,0.866441058
104.200000000,0.863450177
104.300000000,0.860470890
104.400000000,0.857503147
104.500000000,0.854546898
104.600000000,0.851602095
104.700000000,0.848668688
104.800000000,0.845746628
104.900000000,0.842835867
105.000000000,0.839936356
105.100000000,0.837048048
105.200000000,0.834170893
105.300000000,0.831304845
105.400000000,0.828449856
105.500000000,0.825605879
105.600000000,0.822772866
105.700000000,0.819950772
105.800000000,0.817139548
105.900000000,0.814339149
106.000000000,0.811549529
106.100000000,0.808770641
106.200000000,0.806002440
106.300000000,0.803244881
106.400000000,0.800497917
106.500000000,0.797761505
106.600000000,0.795035598
106.700000000,0.792320153
106.800000000,0.789615124
106.900000000,0.786920468
107.000000000,0.784236140
107.100000000,0.781562096
107.200000000,0.778898294
107.300000000,0.776244689
107.400000000,0.773601237
107.500000000,0.770967897
107.600000000,0.768344625
107.700000000,0.765731379
107.800000000,0.763128115
107.900000000,0.760534793
108.000000000,0.757951368
108.100000000,0.755377801
108.200000000,0.752814048
108.300000000,0.750260070
108.400000000,0.747715823
108.500000000,0.745181267
108.600000000,0.742656362
108.700000000,0.740141066
108.800000000,0.737635339
108.900000000,0.735139140
109.000000000,0.732652430
109.100000000,0.730175168
109.200000000,0.727707315
109.300000000,0.725248830
109.400000000,0.722799675
109.500000000,0.720359810
109.600000000,0.717929196
109.700000000,0.715507794
109.800000000,0.713095566
109.900000000,0.710692473
110.000000000,0.708298476
110.100000000,0.705913537
110.200000000,0.703537619
110.300000000,0.701170683
110.400000000,0.698812692
110.500000000,0.696463608
110.600000000,0.694123394
110.700000000,0.691792013
110.800000000,0.689469428
110.900000000,0.687155602
111.000000000,0.684850498
111.100000000,0.682554080
111.200000000,0.680266311
111.300000000,0.677987156
111.400000000,0.675716578
111.500000000,0.673454541
111.600000000,0.671201011
111.700000000,0.668955951
111.800000000,0.666719326
111.900000000,0.664491101
112.000000000,0.662271240
112.100000000,0.660059710
112.200000000,0.657856475
112.300000000,0.655661501
112.400000000,0.653474753
112.500000000,0.651296197
112.600000000,0.649125799
112.700000000,0.646963526
112.800000000,0.644809343
112.900000000,0.642663216
113.000000000,0.640525113
113.100000000,0.638395000
113.200000000,0.636272844
113.300000000,0.634158612
113.400000000,0.632052271
113.500000000,0.629953788
113.600000000,0.627863131
113.700000000,0.625780267
113.800000000,0.623705164
113.900000000,0.621637790
114.000000000,0.619578113
114.100000000,0.617526102
114.200000000,0.615481724
114.300000000,0.613444947
114.400000000,0.611415742
114.500000000,0.609394075
114.600000000,0.607379917
114.700000000,0.605373235
114.800000000,0.603374001
114.900000000,0.601382181
115.000000000,0.599397747
115.100000000,0.597420668
115.200000000,0.595450912
115.300000000,0.593488451
115.400000000,0.591533255
115.500000000,0.589585292
115.600000000,0.587644534
115.700000000,0.585710951
115.800000000,0.583784514
115.900000000,0.581865192
