iter,cost
0,182.9946847082177
1,161.51037735377875
2,130.53340406715824
3,98.42780570550174
4,58.988725053691404
5,43.827987003055476
6,29.054353589436474
7,14.018349255172662
8,4.330410539429257
9,0.7931343896213301
10,0.09548581046417316
11,0.0576355792891856
12,0.0576355792891856
13,0.0576355792891856
14,0.0576355792891856
15,0.0576355792891856
16,0.0576355792891856
17,0.0576355792891856
18,0.0576355792891856
19,0.05677534676248134
20,0.05677534676248134
21,0.05677534676248134
22,0.05677534676248134
23,0.05591511423577707
24,0.05591511423577707
25,0.05591511423577707
26,0.05591511423577707
27,0.05591511423577707
